ID,Sex,Sex_1M_0F,SVL,TL,HLL,Mass,Tick_freq,Ticks_Y_N,Ticks_1Y_0N,Field Notes,Max_25cm,Max_2m,Video Notes
233,F,0,61,87,42,4.75,0,No,0,,1.5434,0.659,
442,M,1,51,76,35,4.5,1,Yes,1,"COMBAT WITH 443, MISSING THREE TOE TIPS 3,100,3RD RIGHT TOE",1.595,0.7784,
525,F,0,51,65,36,4.5,0,No,0,,1.785,1.256,
131,F,0,72,105,45,17.9,0,No,0,,1.789,1.112,
2 423,M,1,51,61,36,6,0,No,0,UNDER SAME TIN,1.841,1.305,
225,M,1,62,91,45,8,2,Yes,1,ON A TREE ~1M 224,1.986,0.9217,
445,M,1,66,95,32,12,0,No,0,POWER RANGER BAG,1.994,1.548,444.3 cut off at frame 171
511,F,0,68,101,46,11.5,0,No,0,PAIRED ON LOG PILE SE UTM FOR PAIR,1.996,1.334,511.3 cut off at frame 033
423,M,1,43,50,32,3.25,0,No,0,REGROWN TAIL,2.008,0.737,
323,M,1,49,75,35,3.5,0,No,0,ALONG DIRFT FENCE C3,2.038,1.562,323.2 VIDEO CANNOT BE OPENED
512,F,0,74,101,46,13,0,No,0,,2.044,1.43,
444,M,1,63,91,36,10.75,0,No,0,ALONG DRIFT FENCE,2.047,1.671,Total for 444.1 paint brush in the way
214,F,0,68,96,51,13.5,0,No,0,,2.049,1.47,
433,F,0,75,103,50,13.25,0,No,0,,2.05,1.579,
321,M,1,51,73,36,5.25,0,No,0,,2.059,1.252,321.2 PAINT BRUSH BLOCKING VIEW
311,M,1,46,69,35,3.25,0,No,0,,2.07,1.83,311.3 BAD VIDEO? AGAIN
412,M,1,75,107,46,14,2,Yes,1,,2.07,1.502,
443,M,1,64,94,44,8.5,0,No,0,"PRE SHEAD, IN COMBAT WITH 442",2.071,1.595,
222,M,1,68,71,46,10.75,2,Yes,1,,2.19,1.048,
244,F,0,73,105,49,15.75,0,No,0,,2.239,1.251,
323,F,0,72,105,45,17.9,0,No,0,,2.253,1.459,
244,F,0,63,103,47,14.75,3,Yes,1,,2.28,1.368,
421,M,1,51,79,38,5,2,Yes,1,ALONG DRIFT FENCE AT B2,2.392,1.141,
1_502,M,1,69,95,44,9.75,3,Yes,1,,2.483,1.887,Third total trial one short pause 
12,M,1,63,91,45,10.25,2,Yes,1,,2.57,1.469,
515,F,0,63,84,41,10.75,0,No,0,BEARD,2.573,1.601,515.3 Bad trial
413,F,0,69,95,49,13.5,0,No,0,PAIRED WITH 422,2.593,1.173,
514,M,1,64,100,44,11.25,0,No,0,,2.593,2.08,
522,M,1,64,89,42,,0,No,0,,2.621,1.813,522.2 Bad Video
441,M,1,67,100,47,12,0,No,0,CUT ON EYE,2.621,1.372,
435,F,0,70,91,44,17,0,No,0,"ALONG DRIFT FENCE B1, GRAVID, MISSING TOE 40",2.64,1.989,
13,M,1,66,101,45,11,1,Yes,1,,2.647,1.946,Two good runs
224,M,1,62,66,42,8.75,0,No,0,,2.65,1.634,
342,M,1,74,74,51,14,2,Yes,1,,2.65,2.179,
244,F,0,63,103,47,14.75,3,Yes,1,,2.65,1.93,244.1 PAINT BRUSH IN WAY/ 244.3 VIDEO FROZE?
2_314,M,1,65,49,44,9,0,No,0,COLLECTED AT SAME LOCATION,2.652,1.985,
434,M,1,55,80,40,5.75,0,No,0,,2.655,1.839,"434.1 & 434.3 bad ""overall"" runs"
313,M,1,66,93,44,11,2,Yes,1,,2.658,1.568,
245,F,0,69,96,42,10,0,No,0,CROOKED TAIL ALONG DRIFT FENCE B1,2.663,2.009,245.3 BAD VIDEO
332,F,0,65,98,45,13.5,0,No,0,PAIRED WITH 342,2.664,1.681,
243,M,1,60,91,43,9,0,No,0,HAD CHIGGERS BEHIND EAR,2.664,1.676,
324,F,0,74,102,47,14,0,No,0,WITH 314,2.665,2.189,
422,M,1,66,99,49,11.5,0,No,0,PAIRED WITH 413 POSSIBLE BROKEN ELBOW,2.667,1.814,422.2 paintbrush in the way
234,M,1,68,96,48,11.5,2,Yes,1,NEED UTMS ON WOOD PILE TO THE RIGHT & PAIRED WITH 235,2.667,1.559,
414,M,1,63,96,46,9.5,0,No,0,IN PIT FALL AT B3,2.668,1.783,
12_22,F,0,69,87,44,11.25,0,No,0,NO BEARD,2.669,1.966,
11_11,M,1,54,,34,7,0,No,0,DROPPED TAIL DURING MEASURMENTS,2.675,2.015,
12_35,F,0,71,108,49,12,0,No,0,1 M FROM NB 41 (M),2.676,1.904,
343,M,1,65,72,43,7,0,No,0,PAIRED W/131,2.681,2.04,
425,F,0,74,96,45,16.5,1,Yes,1,,2.684,1.921,
431,M,1,68,99,46,10.75,0,No,0,,2.687,1.886,431.3 only 11 frames not full vid
314,M,1,67,94,44,10.75,6,Yes,1,,2.687,2.145,
2_21,F,0,71,44,44,13,0,No,0,REGROWN TAIL,2.696,2.356,
241,M,1,64,95,47,9.5,1,Yes,1,,2.698,1.773,
312,F,0,72,96,46,12.25,0,No,0,WITH MALE ON FIRST LOG PILE,2.699,1.92,312.3 GOOD VIDEO FOR EXAMPLE
242,M,1,67,96,45,11.5,3,Yes,1,,2.709,1.651,
322,F,0,69,91,43,11,1,Yes,1,,2.716,1.863,322.3 VIDEO STALLED-ONLY 18 CLIPS?
415,M,1,58,90,39,7.25,0,No,0,,2.719,1.89,
342,M,1,71,74,50,11.75,0,No,0,PAIRED W/ 332 REGROWN TAIL,2.73,2.634,342.2 & 342.3 AWESOME VIDEO EXAMPLE
412,M,1,70,104,47,12.25,2,Yes,1,,2.749,1.635,
12_14,F,0,72,91,46,12,0,No,0,,2.759,2.116,14.2 Bad trial
12_13,M,1,65,31,44,11,0,No,0,Regrown tail,2.761,2.485,Check notes for missing tail
12_32,M,1,71,100,46,14.25,0,No,0,,2.772,1.618,
12_25,F,0,63,87,45,11.25,0,No,0,BEARD,2.818,2.818,
2_31,F,0,71,100,48,13.25,0,No,0,WPT: NB R31,2.825,2.345,
1_31,F,0,72,101,48,13,0,No,0,,2.825,2.345,
2_242,M,1,68,100,48,13.75,1,Yes,1,WAYPOINT 242-R,2.845,2.13,
242,M,1,67,96,45,11.5,3,Yes,1,,2.845,2.13,
331,M,1,66,93,44,10,0,No,0,,2.849,1.934,
12_45,M,1,62,94,45,9.75,0,No,0,TAIL DROPPED AFTER LAST VIDEO BUT KEPT FOR MEASURMENT,2.901,2.042,
12_52,M,1,66,101,46,11.25,0,No,0,,3.02,2.672,
2_342,M,1,73,74,49,13,0,No,0,,3.048,2.661,Paint Brush maybe pushing lizard in R342.2
524,M,1,61,94,45,8.25,3,Yes,1,,3.055,2.238,
2523_,M,1,71,95,49,12.25,1,Yes,1,,3.067,2.058,
